File Path,Filename,Artist,Title,Album,Year,YouTube Results,Best Match Score,Match Quality,Analysis
/Users/marksakamoto/Music/GarageBand/Title Card Synth 1.band/Media/Audio Files/Xynthesizr#03.wav,Xynthesizr#03.wav,Unknown Artist,Xynthesizr#03,,,5,63,Possible match,⚠️  Available but might be different version
/Users/marksakamoto/Music/GarageBand/Title Card Synth 1.band/Media/Audio Files/Xynthesizr#02.wav,Xynthesizr#02.wav,Unknown Artist,Xynthesizr#02,,,1,33,Poor match,❓ Poor matches - potentially rare
/Users/marksakamoto/Music/GarageBand/Theme Loop 3.band/Media/Audio Files/Rural Acoustic Strum 15.wav,Rural Acoustic Strum 15.wav,Unknown Artist,Rural Acoustic Strum 15,,,5,38,Poor match,❓ Poor matches - potentially rare
/Users/marksakamoto/Music/GarageBand/Theme Loop 5 (ska).band/Media/Audio Files/V12_114_Gm_Elec_Guitar_11.wav,V12_114_Gm_Elec_Guitar_11.wav,Unknown Artist,V12_114_Gm_Elec_Guitar_11,,,0,0,No results,❌ Not found - likely rare
/Users/marksakamoto/Music/GarageBand/Theme Loop 5 (ska).band/Media/Audio Files/V12_114_Drums_Full merged_18.wav,V12_114_Drums_Full merged_18.wav,Unknown Artist,V12_114_Drums_Full merged_18,,,0,0,No results,❌ Not found - likely rare
/Users/marksakamoto/Music/GarageBand/Acoustic instrumental 1.band/Media/Audio Files/My Idea 8 merged.wav,My Idea 8 merged.wav,Unknown Artist,My Idea 8 merged,,,5,55,Possible match,⚠️  Available but might be different version
/Users/marksakamoto/Music/GarageBand/Acoustic instrumental 1.band/Media/Audio Files/My Idea 8.wav,My Idea 8.wav,Unknown Artist,My Idea 8,,,5,59,Possible match,⚠️  Available but might be different version
/Users/marksakamoto/Music/GarageBand/Theme Loop 4.band/Media/Audio Files/DP2_87_Gmin_Gang_Horn2_1.wav,DP2_87_Gmin_Gang_Horn2_1.wav,Unknown Artist,DP2_87_Gmin_Gang_Horn2_1,,,0,0,No results,❌ Not found - likely rare
/Users/marksakamoto/Music/GarageBand/Theme Loop 4.band/Media/Audio Files/SFHS_88_E_Trumpet_1_2.wav,SFHS_88_E_Trumpet_1_2.wav,Unknown Artist,SFHS_88_E_Trumpet_1_2,,,0,0,No results,❌ Not found - likely rare
/Users/marksakamoto/Music/GarageBand/Theme Song Verse and Chorus.band/Media/Audio Files/60's Combo#01.wav,60's Combo#01.wav,Unknown Artist,60's Combo#01,,,5,67,Possible match,⚠️  Available but might be different version
/Users/marksakamoto/Music/GarageBand/Theme Song Verse and Chorus.band/Media/Audio Files/Brit and Clean#05.wav,Brit and Clean#05.wav,Unknown Artist,Brit and Clean#05,,,5,41,Poor match,❓ Poor matches - potentially rare
/Users/marksakamoto/Music/GarageBand/Theme Song Verse and Chorus.band/Media/Audio Files/Brit and Clean#02.wav,Brit and Clean#02.wav,Unknown Artist,Brit and Clean#02,,,5,44,Poor match,❓ Poor matches - potentially rare
